name,IVIS component 1,IVIS component 2,IVIS component 3,IVIS component 4,Class
0000.png,0.14229831,-0.72612345,-1.5598445,1.0053698,Healthy-pavement
0001.png,0.15165433,-0.76085615,-1.5420322,1.0086646,Healthy-pavement
0004.png,2.0709882,7.6843204,-5.694841,2.9358702,G-Longitudinal
0005.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0006.png,-0.72364897,4.441456,-0.33997187,-0.073991224,Healthy-pavement
0008.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0011.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0012.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0015.png,0.22375488,-0.9950162,-1.4710773,1.0965328,G-Longitudinal
0021.png,0.20501426,-0.92556036,-1.504459,1.0815989,G-Longitudinal
0022.png,-2.7369242,2.9036498,0.13704759,-3.503818,G-Longitudinal
0025.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0026.png,0.20669416,-0.91458076,-1.4656596,1.0446148,G-Longitudinal
0027.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0032.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0033.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0036.png,-1.6911737,3.397262,2.061955,-1.3293128,G-Longitudinal
0040.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0044.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0045.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0047.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0048.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0049.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0050.png,1.3044058,6.0340247,-2.0598185,2.213962,Healthy-pavement
0051.png,-3.996525,11.331949,-1.0610241,5.327917,G-Transverse
0059.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0060.png,-1.1048009,5.2972403,-6.475868,6.3268127,G-Longitudinal
0061.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0062.png,-3.1369743,2.350686,-4.1772423,0.6705756,Healthy-pavement
0064.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0068.png,0.38189575,6.134658,-4.6366787,0.108614236,Healthy-pavement
0074.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0076.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0077.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0079.png,3.5759566,9.833876,-2.2272227,1.4253594,G-Transverse
0081.png,-2.9731975,-0.31444615,-5.3224955,-2.5217297,G-Longitudinal
0082.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0083.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0085.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0086.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0088.png,-2.521497,-0.99550617,-6.241176,-0.8210921,G-Longitudinal
0096.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0098.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0102.png,-3.3782544,8.317295,-0.4422915,-1.5378559,G-Longitudinal
0103.png,-2.501631,-0.2645299,-5.0801845,1.1068019,G-Longitudinal
0107.png,-2.848999,3.3189912,0.07138729,-2.7874556,G-Longitudinal
0114.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0117.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0118.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0124.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0129.png,0.109680176,10.477587,-0.60493165,6.665435,G-Transverse
0130.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0136.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0137.png,2.8001635,8.644289,-5.215268,3.4067955,G-Longitudinal
0138.png,1.3861307,4.2657785,-7.0438323,-3.343067,G-Transverse
0139.png,-3.3014548,12.621316,-2.4272776,0.72852314,G-alligator
0142.png,-2.849639,1.7124609,0.264988,-1.9510446,Healthy-pavement
0144.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0151.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0154.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0155.png,0.38500845,10.785447,-0.7263941,7.1337423,G-Transverse
0156.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0157.png,-5.525504,7.994574,-1.6625009,0.96315235,G-Transverse
0162.png,-0.04026697,5.9950194,-4.667616,4.4520235,Healthy-pavement
0163.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0165.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0169.png,-2.5734584,-0.55671906,-5.8134665,0.20426545,G-Longitudinal
0170.png,-3.5319967,2.1605659,-2.6154492,0.06942108,Healthy-pavement
0173.png,-0.32650205,7.9021335,-1.8165272,4.2114944,Healthy-pavement
0174.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0177.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0179.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0181.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0185.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0186.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0194.png,-0.27748692,5.3421097,0.8796831,0.14372952,Healthy-pavement
0196.png,-2.290503,2.3745713,0.11436676,-0.8952063,Healthy-pavement
0197.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0199.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0201.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0210.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0211.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0214.png,-1.340972,5.5627236,0.4386321,0.63657135,Healthy-pavement
0220.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0221.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0223.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0224.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0226.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0227.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0228.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0229.png,1.5671465,5.024169,-2.2377696,-0.15733348,Healthy-pavement
0230.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0236.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0238.png,1.5674766,7.0220923,-4.5832963,5.8184223,G-Longitudinal
0240.png,3.8473096,6.9533577,-1.4309635,-1.2590395,G-Transverse
0243.png,-0.075379744,10.138199,-2.5846705,-0.26405457,G-Longitudinal
0244.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0249.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
0250.png,1.7319878,5.033329,-6.0358124,3.554782,Healthy-pavement
0259.png,-0.48836064,-0.24676286,-2.041045,0.55638474,Healthy-pavement
