name,MaxH,Dev_MAX_H_Mean,MaxV,Dev_MAX_V_Mean,Class
0000.png,0.021360294117647057,0.020813457414215683,0.018758169934640523,0.01821133323120915,Healthy-pavement
0001.png,0.018223039215686274,0.017392935559640523,0.01562908496732026,0.014798981311274509,Healthy-pavement
0004.png,0.061452205882352944,0.048883897569444446,0.07970588235294118,0.06713757404003268,G-Longitudinal
0005.png,0.0,0.0,0.0,0.0,Healthy-pavement
0006.png,0.015625,0.015380846609477123,0.02108660130718954,0.020842447916666666,Healthy-pavement
0008.png,0.0,0.0,0.0,0.0,Healthy-pavement
0011.png,0.0,0.0,0.0,0.0,Healthy-pavement
0012.png,0.0,0.0,0.0,0.0,Healthy-pavement
0015.png,0.08547181372549019,0.06547042228349673,0.098390522875817,0.07838913143382353,G-Longitudinal
0021.png,0.13300245098039215,0.11688651450163398,0.07031045751633987,0.0541945210375817,G-Longitudinal
0022.png,0.05678308823529412,0.0445175270629085,0.09216503267973856,0.07989947150735294,G-Longitudinal
0025.png,0.0,0.0,0.0,0.0,Healthy-pavement
0026.png,0.1541605392156863,0.06944803155637255,0.46790032679738564,0.3831878191380719,G-Longitudinal
0027.png,0.0,0.0,0.0,0.0,Healthy-pavement
0032.png,0.0,0.0,0.0,0.0,Healthy-pavement
0033.png,0.0,0.0,0.0,0.0,Healthy-pavement
0036.png,0.0812438725490196,0.05818788296568627,0.2577614379084967,0.23470544832516338,G-Longitudinal
0040.png,0.0,0.0,0.0,0.0,Healthy-pavement
0044.png,0.0,0.0,0.0,0.0,Healthy-pavement
0045.png,0.0,0.0,0.0,0.0,Healthy-pavement
0047.png,0.0,0.0,0.0,0.0,Healthy-pavement
0048.png,0.0,0.0,0.0,0.0,Healthy-pavement
0049.png,0.0,0.0,0.0,0.0,Healthy-pavement
0050.png,0.015625,0.015361340890522875,0.02343954248366013,0.023175883374183005,Healthy-pavement
0051.png,0.2832107843137255,0.24576549734477124,0.0882843137254902,0.05083902675653595,G-Transverse
0059.png,0.0,0.0,0.0,0.0,Healthy-pavement
