name,MDS component 1,MDS component 2,MDS component 3,MDS component 4,Class
0000.png,-0.23082024429917872,-0.9148892908996467,0.2417975120696944,0.5196376109146701,Healthy-pavement
0001.png,-0.21845770235099313,-0.9190795729050367,0.16909150033405207,0.5218625736597388,Healthy-pavement
0004.png,0.15722325294454156,-0.437906738130204,0.29031531752795475,0.4273587149281195,G-Longitudinal
0005.png,-0.20644902120021635,-0.9093846366717201,0.22376565459036826,0.586353838656245,Healthy-pavement
0006.png,-0.18977020929432295,-0.9164008206592016,0.18079124866978027,0.5805957638370569,Healthy-pavement
0008.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036818,0.586353838656245,Healthy-pavement
0011.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036818,0.586353838656245,Healthy-pavement
0012.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036818,0.586353838656245,Healthy-pavement
0015.png,-0.25643454821604256,-0.2534737297176773,-0.24279981102396894,0.19387136436430602,G-Longitudinal
0021.png,-0.47538287771263993,-0.3123841018405594,-0.184490773325742,0.3651714674632214,G-Longitudinal
0022.png,-0.5356960041010839,-0.5177273716829066,-0.1260844477655643,0.32321572203496657,G-Longitudinal
0025.png,-0.20644902120021635,-0.9093846366717201,0.22376565459036826,0.586353838656245,Healthy-pavement
0026.png,0.5198935062985309,3.1237313710676857,0.7061894001976352,1.3572156973406617,G-Longitudinal
0027.png,-0.20644902120021635,-0.9093846366717202,0.2237656545903682,0.5863538386562446,Healthy-pavement
0032.png,-0.20644902120021635,-0.9093846366717202,0.2237656545903682,0.5863538386562446,Healthy-pavement
0033.png,-0.20644902120021635,-0.9093846366717202,0.2237656545903682,0.5863538386562446,Healthy-pavement
0036.png,-1.2191019055804826,-0.34439304301792206,-0.010148745502262054,-0.22745131656724876,G-Longitudinal
0040.png,-0.20644902120021633,-0.9093846366717199,0.2237656545903682,0.5863538386562449,Healthy-pavement
0044.png,-0.20644902120021635,-0.9093846366717202,0.22376565459036826,0.5863538386562448,Healthy-pavement
0045.png,-0.20644902120021635,-0.9093846366717202,0.22376565459036826,0.5863538386562448,Healthy-pavement
0047.png,-0.20644902120021633,-0.9093846366717199,0.2237656545903682,0.5863538386562449,Healthy-pavement
0048.png,-0.20644902120021635,-0.9093846366717202,0.22376565459036826,0.5863538386562448,Healthy-pavement
0049.png,-0.20644902120021635,-0.9093846366717202,0.22376565459036826,0.5863538386562448,Healthy-pavement
0050.png,-0.18832607644456775,-0.9326653737676054,0.21491846159411412,0.5423421583509371,Healthy-pavement
0051.png,0.6270125987877495,0.5548376163593357,-0.5332652763340473,0.8225535834867392,G-Transverse
0059.png,-0.2064490212002164,-0.9093846366717204,0.22376565459036826,0.5863538386562448,Healthy-pavement
0060.png,0.17372501708552793,-0.643864784524029,-0.17283749040577664,0.5768433123556892,G-Longitudinal
0061.png,-0.20644902120021633,-0.9093846366717202,0.2237656545903682,0.5863538386562449,Healthy-pavement
0062.png,-0.19119870959440505,-0.9289108455785697,0.19090964306758607,0.5320685148812556,Healthy-pavement
0064.png,-0.20644902120021635,-0.9093846366717196,0.22376565459036812,0.586353838656245,Healthy-pavement
0068.png,-0.19796087181064279,-0.8590622624266501,0.11983653084832134,0.5850629844350708,Healthy-pavement
0074.png,-0.20644902120021635,-0.9093846366717204,0.2237656545903682,0.5863538386562448,Healthy-pavement
0076.png,-0.20644902120021635,-0.9093846366717204,0.2237656545903682,0.5863538386562448,Healthy-pavement
0077.png,-0.2064490212002164,-0.9093846366717201,0.22376565459036826,0.586353838656245,Healthy-pavement
0079.png,0.09359994891625484,-0.32269820477054756,0.09383120545334152,-0.33452765219140185,G-Transverse
0081.png,-0.4584893016423307,-0.8009035688603701,0.13310407377212993,0.3213207530772831,G-Longitudinal
0082.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036826,0.5863538386562449,Healthy-pavement
0083.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036826,0.5863538386562449,Healthy-pavement
0085.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036826,0.5863538386562449,Healthy-pavement
0086.png,-0.20644902120021646,-0.9093846366717196,0.22376565459036826,0.5863538386562449,Healthy-pavement
0088.png,-0.27586723877933533,-0.698987692262176,-0.2912766889466321,0.3599101808006272,G-Longitudinal
0096.png,-0.2064490212002164,-0.9093846366717201,0.22376565459036826,0.586353838656245,Healthy-pavement
0098.png,-0.2064490212002164,-0.9093846366717201,0.22376565459036826,0.586353838656245,Healthy-pavement
0102.png,-0.8987461284239715,0.3661517279956146,0.10214290430598157,0.35891498317687015,G-Longitudinal
