name,principal component 1,principal component 2,principal component 3,principal component 4,Class
0000.png,-1.0666612435611742,-0.006938366820670892,-0.02945400393819459,-0.016198342337034932,Healthy-pavement
0001.png,-1.0570459484580361,-0.0005959910161817587,-0.017117407180653188,-0.01707695875064734,Healthy-pavement
0004.png,-0.6585505492098518,0.008462908521193174,-0.13418713506777072,0.12457033384430471,G-Longitudinal
0005.png,-1.0847606063514732,-0.0032538763129988163,-0.028878872552439136,0.0005723739042328239,Healthy-pavement
0006.png,-1.0761569070930266,-0.008625688413760891,-0.03629626011270442,-0.005047832815683884,Healthy-pavement
0008.png,-1.0847606063514732,-0.0032538763129996338,-0.02887887255244012,0.0005723739042335649,Healthy-pavement
0011.png,-1.0847606063514732,-0.0032538763129996463,-0.028878872552440288,0.0005723739042344098,Healthy-pavement
0012.png,-1.0847606063514732,-0.003253876312999689,-0.028878872552440295,0.0005723739042338132,Healthy-pavement
0015.png,-0.4140455205654874,0.11110435666290279,0.35257622573276787,0.047058650455521496,G-Longitudinal
0021.png,-0.5553606850193096,-0.1958341622512295,0.3594272263341303,-0.016813102311108524,G-Longitudinal
0022.png,-0.6807951043693232,-0.06831895259554395,0.37244956500293447,-0.1640073779864748,G-Longitudinal
0025.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338424,Healthy-pavement
0026.png,1.7612644618997424,-0.36284047555094806,1.8169711469030976,0.9203813993340899,G-Longitudinal
0027.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338437,Healthy-pavement
0032.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0033.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0036.png,-0.34251433968542655,-0.08061762838873052,0.44530077215482017,-0.6154286569777845,G-Longitudinal
0040.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0044.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0045.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0047.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0048.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0049.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0050.png,-1.076102260666035,-0.004691011045403144,-0.03682110219324119,-0.0031703771197867684,Healthy-pavement
0051.png,0.16143175229584902,0.33366522053945863,0.062323648400146925,-0.18852881037396912,G-Transverse
0059.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0060.png,-0.7543332927451863,-0.00559841215953986,0.028742444441460117,0.13586831522548182,G-Longitudinal
0061.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0062.png,-1.0684206000670613,0.013710972039095257,-0.01736512858680915,0.0091315312724283,Healthy-pavement
0064.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0068.png,-1.0348256088402081,-0.013431095903920528,-0.019914440441847717,-0.0021174647804729973,Healthy-pavement
0074.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0076.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0077.png,-1.0847606063514732,-0.0032538763129996897,-0.028878872552440295,0.0005723739042338436,Healthy-pavement
0079.png,-0.21753406630054545,-0.2978714674842669,-0.27479155071830635,-0.27464620953969804,G-Transverse
