name,LDA component 1,LDA component 2,Class
0000.png,-2.8599829672931776,0.1655413587911987,Healthy-pavement
0001.png,-3.326643384156803,0.05284789243551913,Healthy-pavement
0004.png,-2.4702737681454607,1.32674168770264,G-Longitudinal
0005.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0006.png,-3.5456412590691926,0.17997746664009284,Healthy-pavement
0008.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0011.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0012.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0015.png,-3.5340905812229266,1.0446036095603013,G-Longitudinal
0021.png,-3.3162490931381896,2.451098603445498,G-Longitudinal
0022.png,-2.9710223981098665,0.9142393643727154,G-Longitudinal
0025.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0026.png,-2.3434732582446323,3.7612574392556235,G-Longitudinal
0027.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0032.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0033.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0036.png,-2.5645854669619936,5.239869506123906,G-Longitudinal
0040.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0044.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0045.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0047.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0048.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0049.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0050.png,-3.5861198328401898,0.05644339066119741,Healthy-pavement
0051.png,-1.3842692338825895,1.1456942599020667,G-Transverse
0059.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0060.png,-5.195235191067653,0.2410197548886721,G-Longitudinal
0061.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0062.png,-4.193689292845221,-0.3958043243477043,Healthy-pavement
0064.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0068.png,-3.058188407364149,-1.832821919371309,Healthy-pavement
0074.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0076.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0077.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0079.png,0.5502508241693,-2.3552838843456456,G-Transverse
0081.png,-3.3086570158292474,0.48795715826213026,G-Longitudinal
0082.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0083.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0085.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0086.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0088.png,-1.2422404677356198,2.1606002482772375,G-Longitudinal
0096.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0098.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0102.png,-2.448158249662441,-0.5312241855467121,G-Longitudinal
0103.png,-1.045134570860455,3.549759430303638,G-Longitudinal
0107.png,-2.7329683108924385,4.284729932947787,G-Longitudinal
0114.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0117.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0118.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0124.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0129.png,-0.6542126765103298,-2.175814834130289,G-Transverse
0130.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0136.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0137.png,-2.073200359508924,0.3853415718496507,G-Longitudinal
0138.png,-0.6830871185169762,-1.6970773606913583,G-Transverse
0139.png,13.388902834499198,-0.7635589843442716,G-alligator
0142.png,-3.8731879682318677,0.24496131159891021,Healthy-pavement
0144.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0151.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0154.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0155.png,-1.9355536805724611,-1.0309367691716775,G-Transverse
0156.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0157.png,-0.9931890325662014,-0.49134001028457996,G-Transverse
0162.png,-3.1874698037027187,0.5279662191203265,Healthy-pavement
0163.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0165.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0169.png,-1.9335681845608335,2.776565759528129,G-Longitudinal
0170.png,-3.8729067255374403,-0.2580695776795956,Healthy-pavement
0173.png,-3.6742284426516107,-0.6405739431542479,Healthy-pavement
0174.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0177.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0179.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0181.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0185.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0186.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0194.png,-3.675020888389348,-0.47218764764912535,Healthy-pavement
0196.png,-3.733400697947282,0.36625828692686113,Healthy-pavement
0197.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0199.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0201.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0210.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0211.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0214.png,-3.0069124975421175,1.2233464181665248,Healthy-pavement
0220.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0221.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0223.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0224.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0226.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0227.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0228.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0229.png,-4.090127523336779,-0.3505066436330715,Healthy-pavement
0230.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
0236.png,-3.6288665863830616,-0.020982840517707047,Healthy-pavement
